LEY DE REPARACIÓN, LEY Nº19.992 (VALECH);;;;;;;;;;;
 Noviembre 2023;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;
;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna; Nº Hombre; Mto.Hombre;Nº Mujer; Mto.Mujer; Nº; Monto m$;;;
15;15101;ARICA;204;53.345;81;18.903;285;72.248;;;
15;15102;CAMARONES;0;0;0;0;0;0;;;
15;15201;PUTRE;1;277;0;0;1;277;;;
15;15202;GENERAL LAGOS;0;0;0;0;0;0;;;
1;1101;IQUIQUE;260;68.051;125;27.619;385;95.670;;;
1;1107;ALTO HOSPICIO;23;6.068;11;2.422;34;8.490;;;
1;1401;POZO ALMONTE;0;0;2;542;2;542;;;
1;1402;CAMIÑA;0;0;0;0;0;0;;;
1;1403;COLCHANE;0;0;0;0;0;0;;;
1;1404;HUARA;0;0;0;0;0;0;;;
1;1405;PICA;1;277;1;277;2;555;;;
2;2101;ANTOFAGASTA;168;43.706;83;19.056;251;62.762;;;
2;2102;MEJILLONES;3;819;0;0;3;819;;;
2;2103;SIERRA GORDA;0;0;0;0;0;0;;;
2;2104;TALTAL;6;1.546;5;1.062;11;2.608;;;
2;2201;CALAMA;45;11.876;24;5.386;69;17.261;;;
2;2202;OLLAGUE;0;0;0;0;0;0;;;
2;2203;SAN PEDRO DE ATACAMA;1;242;1;242;2;485;;;
2;2301;TOCOPILLA;15;3.945;7;1.734;22;5.679;;;
2;2302;MARIA ELENA;1;277;0;0;1;277;;;
3;3101;COPIAPO;125;32.451;51;11.330;176;43.781;;;
3;3102;CALDERA;6;1.544;7;1.555;13;3.099;;;
3;3103;TIERRA AMARILLA;0;0;0;0;0;0;;;
3;3201;CHAÑARAL;14;3.645;8;1.756;22;5.401;;;
3;3202;DIEGO DE ALMAGRO;14;3.577;4;926;18;4.503;;;
3;3301;VALLENAR;30;7.997;20;4.395;50;12.391;;;
3;3302;ALTO DEL CARMEN;0;0;0;0;0;0;;;
3;3303;FREIRINA;1;265;0;0;1;265;;;
3;3304;HUASCO;0;0;1;212;1;212;;;
4;4101;LA SERENA;178;46.334;92;21.013;270;67.347;;;
4;4102;COQUIMBO;117;30.881;69;15.111;186;45.993;;;
4;4103;ANDACOLLO;4;1.049;4;914;8;1.964;;;
4;4104;LA HIGUERA;0;0;0;0;0;0;;;
4;4105;PAIHUANO;3;819;0;0;3;819;;;
4;4106;VICUÑA;16;4.189;12;2.993;28;7.182;;;
4;4201;ILLAPEL;25;6.635;13;2.960;38;9.596;;;
4;4202;CANELA;1;277;0;0;1;277;;;
4;4203;LOS VILOS;20;5.251;12;2.664;32;7.915;;;
4;4204;SALAMANCA;17;4.522;6;1.217;23;5.739;;;
4;4301;OVALLE;67;17.829;31;6.684;98;24.513;;;
4;4302;COMBARBALA;7;1.867;13;3.199;20;5.066;;;
4;4303;MONTE PATRIA;0;0;0;0;0;0;;;
4;4304;PUNITAQUI;0;0;1;212;1;212;;;
4;4305;RIO HURTADO;0;0;1;199;1;199;;;
5;5101;VALPARAISO;389;100.800;249;57.231;638;158.030;;;
5;5102;CASABLANCA;10;2.561;8;1.799;18;4.359;;;
5;5103;CONCON;15;3.972;7;1.604;22;5.575;;;
